runKey,partyId,agent,seedIndex,axis,startTrue,endTrue,startPerceived,endPerceived,deltaTrue,deltaPerceived
lfi:aleatoire:38,lfi,aleatoire,38,society,-58,-58,-58,-58,0,0
lfi:aleatoire:38,lfi,aleatoire,38,europe,-48,-48,-48,-48,0,0
lfi:aleatoire:38,lfi,aleatoire,38,ecology,66,64.215,66,60.9,-1.7849999999999966,-5.100000000000001
lfi:aleatoire:38,lfi,aleatoire,38,authority,-54,-53.3,-54,-52,0.7000000000000028,2
lfi:aleatoire:38,lfi,aleatoire,38,immigration,-38,-32.995,-38,-23.7,5.005000000000003,14.3
lfi:aleatoire:39,lfi,aleatoire,39,economy,-78,-62.15436705000002,-78,-32.72676299999999,15.845632949999981,45.27323700000001
lfi:aleatoire:39,lfi,aleatoire,39,society,-58,-58,-58,-58,0,0
lfi:aleatoire:39,lfi,aleatoire,39,europe,-48,-43.870000000000005,-48,-36.2,4.1299999999999955,11.799999999999997
lfi:aleatoire:39,lfi,aleatoire,39,ecology,66,60.298500000000004,66,49.709999999999994,-5.701499999999996,-16.290000000000006
lfi:aleatoire:39,lfi,aleatoire,39,authority,-54,-53.6171,-54,-52.906000000000006,0.38289999999999935,1.093999999999994
lfi:aleatoire:39,lfi,aleatoire,39,immigration,-38,-38,-38,-38,0,0
lfi:aleatoire:40,lfi,aleatoire,40,economy,-78,-66.4960495,-78,-45.131569999999996,11.503950500000002,32.868430000000004
lfi:aleatoire:40,lfi,aleatoire,40,society,-58,-58,-58,-58,0,0
lfi:aleatoire:40,lfi,aleatoire,40,europe,-48,-44.395,-48,-37.7,3.604999999999997,10.299999999999997
lfi:aleatoire:40,lfi,aleatoire,40,ecology,66,61.926,66,54.36,-4.073999999999998,-11.64
lfi:aleatoire:40,lfi,aleatoire,40,authority,-54,-53.335,-54,-52.1,0.6649999999999991,1.8999999999999986
