partyId,agent,seedIndex,sourcePartyId,share,abstentionRate,leftShare,rightShare
lfi,prudent,6,nouvelle_energie,9.2,0.46,0.49945702958329763,0.5005429704167024
lfi,prudent,7,ps,9.4,0.34437333266577114,0.5270812347497429,0.4729187652502571
lfi,prudent,7,ecologistes,8.2,0.37753004854683264,0.5400387842712208,0.45996121572877924
lfi,prudent,7,renaissance,13,0.2085969921660684,0.40977345700675544,0.5902265429932445
lfi,prudent,7,lr,11.1,0.2554697035561982,0.3783355521995436,0.6216644478004564
lfi,prudent,7,rn,10.4,0.440266785515875,0.4741870009829478,0.5258129990170521
lfi,prudent,7,reconquete,7.9,0.4553005328580141,0.4532458675613359,0.5467541324386641
lfi,prudent,7,nouvelle_energie,11.3,0.23928775604841745,0.3727694653918964,0.6272305346081035
lfi,prudent,8,ps,9.7,0.2915423666060776,0.6833220464556121,0.3166779535443879
lfi,prudent,8,ecologistes,7.2,0.40669480099545685,0.6587850336489158,0.34121496635108417
lfi,prudent,8,renaissance,12.8,0.46,0.556768886658631,0.443231113341369
lfi,prudent,8,horizons,10.6,0.46,0.5314978641397085,0.46850213586029155
lfi,prudent,8,lr,11.6,0.39157265660237983,0.47946631992708866,0.5205336800729113
lfi,prudent,8,reconquete,9.1,0.2618280715344861,0.37450974451526925,0.6254902554847308
lfi,prudent,8,nouvelle_energie,9.8,0.4271697076609171,0.4917331962967148,0.5082668037032851
lfi,prudent,9,ps,8.2,0.31250935226748505,0.5739771172042855,0.42602288279571454
lfi,prudent,9,ecologistes,6.8,0.3744948799049931,0.565313192006564,0.43468680799343595
lfi,prudent,9,horizons,9.8,0.2585969921660684,0.4670721649271051,0.5329278350728949
lfi,prudent,9,lr,10.7,0.3234291016103894,0.4301919483244238,0.5698080516755761
lfi,prudent,9,rn,10.6,0.46,0.5366856727480517,0.4633143272519483
lfi,prudent,9,reconquete,6.1,0.46,0.5251866401319396,0.4748133598680604
lfi,prudent,9,nouvelle_energie,9.5,0.30699453278821504,0.426389091205732,0.573610908794268
lfi,prudent,9,lr_dissidence_21,9.8,0.3734291016103894,0.4940150442542003,0.5059849557457997
lfi,prudent,10,ps,9.9,0.38170485022435363,0.614053340757488,0.38594665924251204
lfi,prudent,10,ecologistes,9.2,0.40612961000098613,0.6565431041016991,0.34345689589830086
lfi,prudent,10,renaissance,10.5,0.46,0.5527681592856669,0.4472318407143331
lfi,prudent,10,horizons,9.7,0.46,0.5271032057656335,0.4728967942343665
lfi,prudent,10,lr,10.7,0.3939726566023799,0.47392138819609203,0.526078611803908
lfi,prudent,10,reconquete,7.3,0.2642280715344861,0.3665604328269608,0.6334395671730392
lfi,prudent,10,nouvelle_energie,12.4,0.4295697076609172,0.4863053091526575,0.5136946908473425
lfi,prudent,11,ecologistes,10.9,0.2748538120233696,0.4571594299787072,0.5428405700212928
lfi,prudent,11,renaissance,10.6,0.39949544619197774,0.47299348562092414,0.5270065143790759
lfi,prudent,11,horizons,10.1,0.4316625158141757,0.48546172643893554,0.5145382735610644
lfi,prudent,11,lr,9.7,0.46,0.4945156633647259,0.5054843366352741
lfi,prudent,11,rn,9.3,0.46,0.5168910115588061,0.4831089884411939
lfi,prudent,11,reconquete,8.7,0.46,0.5170198700464712,0.4829801299535288
lfi,prudent,11,nouvelle_energie,11.9,0.46,0.4934318347732212,0.5065681652267788
lfi,prudent,12,ps,8.5,0.2944864055297959,0.6871430792750534,0.31285692072494664
lfi,prudent,12,ecologistes,9.9,0.40965560416043034,0.6636921478591479,0.3363078521408521
lfi,prudent,12,renaissance,8.4,0.46,0.5621418430807046,0.4378581569192954
lfi,prudent,12,horizons,10.8,0.46,0.5362166500221663,0.46378334997783366
lfi,prudent,12,lr,12.8,0.39847265660237985,0.4828587701396346,0.5171412298603655
lfi,prudent,12,reconquete,3.8,0.3187280715344861,0.4289705333232106,0.5710294666767894
lfi,prudent,12,nouvelle_energie,10.5,0.4340697076609171,0.4960656010114852,0.5039343989885148
lfi,prudent,13,lfi,12.7,0.2924670256668329,0.5928345265235287,0.40716547347647125
lfi,prudent,13,ecologistes,10.4,0.2386538120233696,0.6209392370592828,0.3790607629407172
lfi,prudent,13,renaissance,10.4,0.21269699216606838,0.4364540876955019,0.5635459123044981
